city,state,county_name,lat,lng,population
Murfreesboro,Tennessee,Rutherford,35.8492,-86.4119,179951
High Point,North Carolina,Guilford,35.9907,-79.9938,179913
Newport News,Virginia,Newport News,37.1051,-76.5185,179225
Rancho Cucamonga,California,San Bernardino,34.1248,-117.5666,177603
Hemet,California,Riverside,33.7341,-116.9969,177253
Santa Cruz,California,Santa Cruz,36.9789,-122.0346,176428
Danbury,Connecticut,Fairfield,41.4016,-73.471,176030
Peoria,Arizona,Maricopa,33.7844,-112.2989,175961
Oceanside,California,San Diego,33.2247,-117.3083,175742
Elk Grove,California,Sacramento,38.416,-121.3842,174775
Pembroke Pines,Florida,Broward,26.0128,-80.3382,173591
Vallejo,California,Solano,38.1133,-122.2358,173256
Garden Grove,California,Orange,33.7787,-117.9601,171644
Enterprise,Nevada,Clark,36.0164,-115.2208,171108
Medford,Oregon,Jackson,42.3372,-122.8537,170876
Cary,North Carolina,Wake,35.782,-78.8191,170282
Marysville,Washington,Snohomish,48.0809,-122.1561,170009
Corona,California,Riverside,33.8616,-117.5649,169868
Ocala,Florida,Marion,29.178,-82.1511,169383
Fredericksburg,Virginia,Fredericksburg,38.2992,-77.4872,168909
Gainesville,Georgia,Hall,34.2903,-83.8301,167371
Manchester,New Hampshire,Hillsborough,42.9848,-71.4447,162877
Bayamón,Puerto Rico,Bayamón,18.3793,-66.1635,161034
Champaign,Illinois,Champaign,40.1144,-88.2735,159443
Alexandria,Virginia,Alexandria,38.8185,-77.0861,159428
Hayward,California,Alameda,37.6328,-122.0772,159203
Springfield,Illinois,Sangamon,39.771,-89.6538,158509
Lakewood,Colorado,Jefferson,39.6977,-105.1168,157935
Lafayette,Indiana,Tippecanoe,40.399,-86.8594,157820
Frederick,Maryland,Frederick,39.4336,-77.4141,156787
Lake Charles,Louisiana,Calcasieu,30.2012,-93.2122,156181
Odessa,Texas,Ector,31.8831,-102.3406,155998
Tuscaloosa,Alabama,Tuscaloosa,33.2348,-87.5267,155499
Warner Robins,Georgia,Houston,32.597,-83.6529,155140
Palmdale,California,Los Angeles,34.5944,-118.1057,155079
Hollywood,Florida,Broward,26.0294,-80.1679,154817
Midland,Texas,Midland,32.0249,-102.1137,154793
Leesburg,Florida,Lake,28.7657,-81.8996,154574
Port Arthur,Texas,Jefferson,29.8554,-93.9264,154468
Muskegon,Michigan,Muskegon,43.2281,-86.2563,153565
Macon,Georgia,Bibb,32.8065,-83.6974,153159
Kansas City,Kansas,Wyandotte,39.1234,-94.7443,152960
Sunnyvale,California,Santa Clara,37.3836,-122.0256,152703
Pomona,California,Los Angeles,34.0585,-117.7626,151691
Escondido,California,San Diego,33.1347,-117.0722,151625
Pasadena,Texas,Harris,29.6583,-95.1499,151227
New Bedford,Massachusetts,Bristol,41.6697,-70.9428,149910
Fairfield,California,Solano,38.2592,-122.0324,148683
Naperville,Illinois,DuPage,41.7483,-88.1657,148449
Bellevue,Washington,King,47.5951,-122.1535,148164
Binghamton,New York,Broome,42.1014,-75.9093,148145
Elkhart,Indiana,Elkhart,41.6916,-85.9628,147567
Topeka,Kansas,Shawnee,39.0346,-95.6955,147458
Joliet,Illinois,Will,41.5189,-88.1499,147344
Beaumont,Texas,Jefferson,30.0849,-94.1451,146091
Paterson,New Jersey,Passaic,40.9147,-74.1624,145233
Merced,California,Merced,37.3057,-120.4778,145149
Pueblo,Colorado,Pueblo,38.2705,-104.6112,143932
Tyler,Texas,Smith,32.3184,-95.3062,143796
Torrance,California,Los Angeles,33.8346,-118.3417,143592
Yuma,Arizona,Yuma,32.5992,-114.5488,142847
Metairie,Louisiana,Jefferson,29.9977,-90.178,142135
Surprise,Arizona,Maricopa,33.68,-112.4524,141664
Columbia,Missouri,Boone,38.9478,-92.3256,141645
Athens,Georgia,Clarke,33.9508,-83.3689,141532
Roseville,California,Placer,38.7703,-121.3196,141500
Thornton,Colorado,Adams,39.9197,-104.9438,141464
Miramar,Florida,Broward,25.9773,-80.3351,141191
Pasadena,California,Los Angeles,34.1597,-118.139,141029
Mesquite,Texas,Dallas,32.7623,-96.5889,140937
Olathe,Kansas,Johnson,38.8832,-94.8198,140545
Santa Maria,California,Santa Barbara,34.9334,-120.4432,140545
Houma,Louisiana,Terrebonne,29.5799,-90.7058,140469
Carrollton,Texas,Dallas,32.989,-96.8999,139248
Grand Junction,Colorado,Mesa,39.0876,-108.5673,139143
Charleston,West Virginia,Kanawha,38.3484,-81.6323,138706
Orange,California,Orange,33.8038,-117.8218,138669
Fullerton,California,Orange,33.8841,-117.9279,138632
Greeley,Colorado,Weld,40.4151,-104.7706,137810
Carolina,Puerto Rico,Carolina,18.4054,-65.9792,136771
Las Cruces,New Mexico,Doña Ana,32.3265,-106.7892,136254
Panama City,Florida,Bay,30.1995,-85.6004,136133
Harlingen,Texas,Cameron,26.1917,-97.6976,136037
West Valley City,Utah,Salt Lake,40.6889,-112.0115,135248
Hampton,Virginia,Hampton,37.0551,-76.363,134510
Warren,Michigan,Macomb,42.4934,-83.027,133943
Mauldin,South Carolina,Greenville,34.7849,-82.3005,133872
Bloomington,Illinois,McLean,40.4757,-88.9703,133846
Coral Springs,Florida,Broward,26.2702,-80.2591,133759
Round Rock,Texas,Williamson,30.5254,-97.666,133372
Yakima,Washington,Yakima,46.5923,-120.5496,133191
Sterling Heights,Michigan,Macomb,42.5809,-83.0305,132438
Kent,Washington,King,47.3887,-122.2129,132319
Burlington,North Carolina,Alamance,36.0758,-79.4686,131043
