,restaurant_id,address,cuisine,city,name,latitude,longitude
5310,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5311,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5312,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5313,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5314,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5315,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5316,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5317,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5318,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5319,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5320,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5321,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5322,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5323,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5324,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5325,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5326,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5327,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5328,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5329,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5330,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5331,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5332,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5333,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5334,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5335,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5336,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5337,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5338,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5339,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5340,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5341,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5342,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5343,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5344,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5345,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5346,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5347,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5348,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5349,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5350,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5351,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5352,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
5353,AVwejIh5IN2L1WUf5-qq,17499 Ventura Blvd,"Health Food,Vegetarian",Encino,Coral Tree Cafe,34.161494,-118.514036
